Id,Title,Acteur1,Acteur2,Actrice1,Actrice2,Realisateur,NbEntree,Type,NoteActeur1,NoteActeur2,NoteActrice1,NoteActrice2,NoteRealisateur,
14,Harry Potter et les Reliques de la mort 2,Daniel Radcliffe,Rupert Grint,Emma Watson,Helena Bonham,David Yates,6471905,2,1.0,1.0,1.0,1.0,1.0,
15,Harry Potter et le Prince de Sang M,Daniel Radcliffe,Rupert Grint,Emma Watson,Helena Bonham,David Yates,6023875,2,1.0,1.0,1.0,1.0,1.0,
16,Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Marion Cotillard,Ellen Page,Christopher Nolan,4900206,2,1.0,0.8330228,0.6868042,1.0,1.0,
17,X-MEN: DAYS OF FUTURE PAST,Hugh Jackman,James McAvoy,Halle Berry,Ellen Page,Bryan Singer,3034734,2,0.5242428,0.5672976,0.6893518,1.0,0.9617452,
18,La Belle et la BÃªte,Luke Evans,Ian McKellen,Emma Watson,Michelle Pfeiffer,Tom McGrath,3278220,2,0.7021661,1.0,1.0,1.0,1.0,
19,Le Hobbit : La Bataille des Cinq ArmÃ©es,Ian McKellen,Luke Evans,Cate Blanchett,Evangeline Lilly,Peter Jackson,4790858,2,1.0,0.7021661,0.8437258,1.0,1.0,
20,Le Hobbit : La DÃ©solation de Samug,Ian McKellen,Luke Evans,Cate Blanchett,Evangeline Lilly,Peter Jackson,3790858,2,1.0,0.7021661,0.8437258,1.0,1.0,
21,SPY,Jason Statham,Jude Law,Melissa McCarthy,Rose Byrne,Joel Coen,700752,1,0.5359831,0.7406449,0.3898223,0.611272,0.3796957,
22,LE MONDE FANTASTIQUE DOZ,James Franco,Tim Roth,Rachel Weisz,Michelle Williams,Sam Raimi,1454977,1,0.4265307,0.2780811,0.239092,0.5353801,1.0,
23,Equalizer,Denzel Washington,James Marsden,Chloe Grace Moretz,Kate Beckinsale,Joel Coen,132220,0,0.2232208,0.2419434,0.2501637,0.2880505,0.3796957,
24,LE LIVRE DELI,Denzel Washington,Gary Oldman,Mila Kunis,Jennifer Connelly,Tony Scott,430053,1,0.2232208,0.4522509,0.3042366,0.7529855,0.2234298,
25,MONEY MONSTER,George Clooney,Jeff Bridges,Julia Roberts,Robin Wright,Ang Lee,620789,1,0.3144621,0.3052921,0.4191956,0.4989682,0.3270768,
26,KICK-ASS 2,Aaron Eckhart,Jim Carrey,Chloe Grace Moretz,Milla Jovovich,Tony Scott,191418,0,0.1521251,0.2805777,0.2501637,0.2746399,0.2234298,
27,SILENT HILL,Sean Bean,Kevin Pollak,Laurie Holden,Mathilde Seigner,Peter Farrelly,807159,1,0.5006019,0.1378685,0.2230626,0.2976665,0.2312577,
28,MAMMA MIA! HERE WE GO AGAIN,James Franco,James Caan,Meryl Streep,Amanda Seyfried,Peter Farrelly,608896,1,0.4265307,0.1391515,0.4035443,0.3176844,0.2312577,
29,PAN,Hugh Jackman,Martin Sheen,Amanda Seyfried,Teresa Palmer,Joel Schumacher,583706,1,0.5242428,0.4501407,0.3176844,0.2193978,0.1253382,
30,The Giver,Alexander SkarsgÃ¥rd,Jeff Bridges,Katie Holmes,Meryl Streep,David Lynch,149333,0,0.1560162,0.3052921,0.1422718,0.4035443,0.1384926,
31,DUMB & DUMBER DE,Jim Carrey,Jeff Bridges,Laurie Holden,Rachel Melvin,Peter Farrelly,147054,0,0.2805777,0.3052921,0.2230626,0.1319478,0.2312577,
32,SÃ‰DUIS-MOI SI TU PEUX !,Seth Rogen,Alexander SkarsgÃ¥rd,Charlize Theron,Juno Temple,Jean-Jacques Annaud,122000,0,0.1368956,0.1560162,0.2962373,0.1836563,0.4854833,
33,RETOUR Ã€ ZOMBIELAND,Woody Harrelson,Kevin Pollak,Emma Stone,Abigail Breslin,David Fincher,458756,1,0.7305111,0.1378685,0.6009554,0.1141587,0.6271683,
34,LA STRATÃ‰GIE ENDER,Stephen Dorff,Sam Rockwell,Catherine Zeta-Jones,Abigail Breslin,James Mangold,237725,0,0.2060036,0.1525158,0.1492813,0.1141587,0.3964679,
35,GIRLS ONLY,Sam Rockwell,Edward Burns,Keira Knightley,Chloe Grace Moretz,David Lynch,70134,0,0.1525158,0.1015303,0.5096259,0.2501637,0.1384926,
36,POLTERGEIST,Sam Rockwell,Ray Winstone,Rosemarie DeWitt,Jane Birkin,Lasse Hallstrom,263333,0,0.1525158,0.3568388,0.2088015,0.1470321,0.07080521,
37,KIN : LE COMMENCEMENT,James Franco,Dennis Quaid,Thandie Newton,Teresa Palmer,Wes Craven,284131,0,0.4265307,0.1471923,0.2826156,0.2193978,0.1840176,
38,MY MOVIE PROJECT,Gerard Butler,Giovanni Ribisi,Elizabeth Banks,Saoirse Ronan,Pedro Almodovar,39743,0,0.1149657,0.1605536,0.4391454,0.3087344,0.2731534,
39,COMANCHERIA,Ben Foster,Jeff Bridges,Laurie Holden,Juno Temple,David Lynch,87138,0,0.3461091,0.3052921,0.2230626,0.1836563,0.1384926,
40,ALBERT Ã€ LOUEST,Giovanni Ribisi,Liam Neeson,Charlize Theron,Amanda Seyfried,Steven Soderbergh,163534,0,0.1605536,0.1156134,0.2962373,0.3176844,0.1337971,
41,Avengers: L'Ã¨re d'Ultron,Robert Downey Jr.,Chris Hemsworth,Scarlet Johansson,Zoe Saldana,Joe Russo,4189252,2,1.0,1.0,1.0,1.0,1.0,
42,Avengers,Chris Evans,Mark Ruffalo,Elizabeth Olsen,Scarlet Johansson,Joe Russo,4377648,2,1.0,1.0,1.0,1.0,1.0,
43,Fast & Furious 7,Vin Diesel,Dwayne Johnson,Michelle Rodriguez,Charlize Theron,David Leitch,4521429,2,1.0,0.7515336,1.0,0.2962373,0.7403026,
44,Fast & Furious 8,Vin Diesel,Dwayne Johnson,Michelle Rodriguez,Charlize Theron,David Leitch,3698165,2,1.0,0.7515336,1.0,0.2962373,0.7403026,
45,Iron Man 3,Robert Downey Jr.,Don Cheadle,Rebecca Hall,Gwyneth Paltrow,M.Night Shyamalan,4277869,2,1.0,1.0,0.887929,1.0,1.0,
46,Iron Man,Robert Downey Jr.,Jeff Bridges,Leslie Mann,Elizabeth Banks,Michael Mann,1995143,1,1.0,0.3052921,0.6810449,0.4391454,0.5209116,
47,Iron Man 2,Robert Downey Jr.,Don Cheadle,Scarlet Johansson,Gwyneth Paltrow,M.Night Shyamalan,2535323,2,1.0,1.0,1.0,1.0,1.0,
48,Captain America: Civil War,Chris Evans,Robert Downey Jr.,Scarlet Johansson,Elizabeth Olsen,Joe Russo,2699355,2,1.0,1.0,1.0,1.0,1.0,
49,LE SEIGNEUR DES ANNEAUX : LE RETOUR DU ROI,Ian McKellen,Orlando Bloom,Cate Blanchett,Evangeline Lilly,Peter Jackson,7221072,2,1.0,1.0,0.8437258,1.0,1.0,
50,LE SEIGNEUR DES ANNEAUX : LES DEUX TOURS,Ian McKellen,Orlando Bloom,Cate Blanchett,Evangeline Lilly,Peter Jackson,6765610,2,1.0,1.0,0.8437258,1.0,1.0,
51,LE SEIGNEUR DES ANNEAUX : LA COMMUNAUTÃ‰ DE L'ANNEAU,Ian McKellen,Orlando Bloom,Cate Blanchett,Evangeline Lilly,Peter Jackson,6637327,2,1.0,1.0,0.8437258,1.0,1.0,
52,BLACK PANTHER,MICHAEL B. JORDAN,Chadwick Boseman,LETITIA WRIGHT,DANAI GURIRA,Gore Verbinski,3393083,2,0.739816,1.0,1.0,1.0,1.0,
53,Harry Potter et les Reliques de la mort 1,Daniel Radcliffe,Rupert Grint,Emma Watson,Helena Bonham,David Yates,5890554,2,1.0,1.0,1.0,1.0,1.0,
54,Harry Potter et l'ordre du PhÃ©nix,Daniel Radcliffe,Rupert Grint,Emma Watson,Helena Bonham,David Yates,6142012,2,1.0,1.0,1.0,1.0,1.0,
55,STAR WARS - LE RÃ‰VEIL DE LA FORCE,John Boyega,Harisson Ford,Daisy Ridley,Kerry Washington,J.JAbrams,10261217,2,1.0,1.0,1.0,1.0,1.0,
56,STAR WARS: L'ASCENSION DE SKYWALKER,John Boyega,Harisson Ford,Daisy Ridley,Kerry Washington,J.JAbrams,5822500,2,1.0,1.0,1.0,1.0,1.0,
57,STAR WARS - LES DERNIERS JEDI,John Boyega,Harisson Ford,Daisy Ridley,Kerry Washington,J.JAbrams,7013852,2,1.0,1.0,1.0,1.0,1.0,
58,Resident Evil: Retribution,Kiefer Sutherland,Alexander SkarsgÃ¥rd,Milla Jovovich,Michelle Rodriguez,Sylvester Stallone,499511,1,0.08958904,0.1560162,0.2746399,1.0,0.411296,
59,Magic Mike XXL,Channing Tatum,Aaron Eckhart,Amber Heard,Eva Green,Danny Boyle,107428,0,0.3125738,0.1521251,0.647202,1.0,0.33309,
60,The Danish Girl,Edward Burns,Giovanni Ribisi,Amber Heard,Laurie Holden,Tony Scott,118481,0,0.1015303,0.1605536,0.647202,0.2230626,0.2234298,
61,3 Days to Kill,Kevin Costner,Jeremy Renner,Rebel Wilson,Hailee Steinfeld,Jean-Marc Vallee,186899,0,0.316485,0.1079745,0.2842546,0.2639668,0.05189929,
62,PITCH PERFECT 2,John Boyega,Tye Sheridan,Rebel Wilson,Anna Kendrick,John McTiernan,237121,1,1.0,0.5398676,0.2842546,0.4031036,0.1227362,
63,NEW YORK MELODY,Aaron Eckhart,Jeremy Renner,Jane Birkin,Hailee Steinfeld,Michael Mann,125665,0,0.1521251,0.1079745,0.1470321,0.2639668,0.5209116,
64,BIRDS OF PREY ET LA FANTABULEUSE HISTOIRE DE HARLEY QUINN,Channing Tatum,Ralph Fiennes,Helen Mirren,Margot Robbie,Matthew Vaughn,907926,1,0.3125738,0.555511,0.8827905,1.0,0.5397391,
65,SCANDALE,Ralph Fiennes,Zac Efron,Margot Robbie,Charlize Theron,Darren Aronofsky,314117,1,0.555511,0.257432,1.0,0.2962373,0.3716597,
66,PIERRE LAPIN,Hugo Weaving,Eli Wallach,Rose Byrne,Emma Stone,David Fincher,1555555,1,0.893321,0.5690004,0.611272,0.6009554,0.6271683,
67,LES PROIES,Ray Winstone,Giovanni Ribisi,Uma Thurman,Nicole Kidman,David Lynch,177256,0,0.3568388,0.1605536,0.2314902,0.6444319,0.1384926,
68,AVANT D'ALLER DORMIR,Ray Liotta,Jeremy Renner,Mila Kunis,Milla Jovovich,John McTiernan,111447,0,0.1100132,0.1079745,0.3042366,0.2746399,0.1227362,
69,LA FAVORITE,Kevin Spacey,Kevin Pollak,Catherine Deneuve,Rachel Weisz,Darren Aronofsky,166719,0,0.1674069,0.1378685,0.1651003,0.239092,0.3716597,
70,YOUTH,Sam Rockwell,Michael Caine,Jane Birkin,Rachel Weisz,Joel Schumacher,214156,0,0.1525158,0.3786565,0.1470321,0.239092,0.1253382,
71,SICARIO,Kevin Pollak,Edward Burns,Emily Blunt,Frances McDormand,Ron Howard,308559,0,0.1378685,0.1015303,0.396968,0.4682482,0.2932108,
72,INTO THE WOODS: PROMENONS-NOUS DANS LES BOIS,Will Smith,Johnny Depp,Emily Blunt,Meryl Streep,Lilly Wachowski,1117984,1,0.6045808,0.647691,0.396968,0.4035443,0.5515018,
73,LOVELY BONES,Dennis Quaid,Mel Gibson,Rachel Weisz,Saoirse Ronan,Edgar Wright,257455,0,0.1471923,0.1417946,0.239092,0.3087344,0.08487552,
74,JOJO RABBIT,Anthony Hopkins,James Franco,Scarlet Johansson,Rebel Wilson,Tony Scott,223588,1,0.5498962,0.4265307,1.0,0.2842546,0.2234298,
75,LE COUP DU SIÃˆCLE,Morgan Freeman,Edward Norton,Rachel Melvin,Rebel Wilson,Tony Scott,197260,0,0.2743601,0.3759465,0.1319478,0.2842546,0.2234298,
76,ESCOBAR,Stephen Dorff,Sam Rockwell,Thandie Newton,Penelope Cruz,John Carpenter,141268,0,0.2060036,0.1525158,0.2826156,0.3936808,0.08391079,
77,NINE,Harisson Ford,Ed Harris,Marion Cotillard,Penelope Cruz,Edgar Wright,304466,1,1.0,0.4901531,0.6868042,0.3936808,0.08487552,
78,SHERLOCK GNOMES,Johnny Depp,Liam Neeson,Mary Elizabeth Winstead,Emily Blunt,James Mangold,1220944,1,0.647691,0.1156134,0.381175,0.396968,0.3964679,
79,L EXPERIENCE INTERDITE-FLATLINERS,Kiefer Sutherland,James Marsden,Katherine Heigl,Rachel McAdams,Antoine Fuqua,143410,0,0.08958904,0.2419434,0.2850629,0.3373488,0.2352914,
80,MARMADUKE,Kiefer Sutherland,Tommy Lee Jones,Juno Temple,Catherine Zeta-Jones,Tony Scott,150627,0,0.08958904,0.2626956,0.1836563,0.1492813,0.2234298,
81,TWELVE,Kiefer Sutherland,Gerard Butler,Sylvie Testud,Elisabeth Shue,Joel Schumacher,152714,0,0.08958904,0.1149657,0.2772778,0.1719434,0.1253382,
82,CONTREBANDE,Giovanni Ribisi,Ben Foster,Jane Birkin,Doona Bae,Steven Soderbergh,121400,0,0.1605536,0.3461091,0.1470321,0.1995953,0.1337971,
83,MUTE,Alexander SkarsgÃ¥rd,Sam Rockwell,Abigail Breslin,Teresa Palmer,Wes Craven,149862,0,0.1560162,0.1525158,0.1141587,0.2193978,0.1840176,
84,MELANCHOLIA,Alexander SkarsgÃ¥rd,Kiefer Sutherland,Katherine Heigl,Mathilde Seigner,Denis Villeneuve,220219,0,0.1560162,0.08958904,0.2850629,0.2976665,0.1812845,
85,POMPEI,James Franco,Elijah Wood,Melissa McCarthy,Rosemarie DeWitt,Matthew Vaughn,338692,1,0.4265307,0.5270127,0.3898223,0.2088015,0.5397391,
86,TED,Eli Wallach,Giovanni Ribisi,Keira Knightley,Mila Kunis,Gore Verbinski,1333406,1,0.5690004,0.1605536,0.5096259,0.3042366,1.0,
87,GANGSTER SQUAD,Ryan Gosling,Sean Penn,Emma Stone,Jessica Chastain,David Fincher,600759,1,0.4266275,0.249677,0.6009554,0.4724328,0.6271683,
88,RHUM EXPRESS,Johnny Depp,Aaron Eckhart,Amber Heard,Jessica Chastain,Ridley Scott,758749,1,0.647691,0.1521251,0.647202,0.4724328,0.5787723,
89,DANGEREUSE SÃ‰DUCTION,Bruce Willis,Giovanni Ribisi,Halle Berry,Sarah Jessica Parker,Sylvester Stallone,509920,1,0.4932647,0.1605536,0.6893518,0.5439321,0.411296,
90,SELMA,Giovanni Ribisi,Jason Clarke,Robin Wright,Maggie Gyllenhaal,Michael Mann,341577,1,0.1605536,0.6038427,0.4989682,0.5249757,0.5209116,
